Trial,Sat_Config,Total_Rods,Nominal,Reached_Steady_State,Lock_Day,W_Mag(deg/s),Wx,Wy,Wz,q0,q1,q2,q3
151,1U,4,No,Yes,8.696102,26.942801,-25.242403,-4.562833,8.241126,0.721969,-0.647179,0.081637,-0.230770
152,1U,4,No,Yes,7.636303,33.205472,18.422150,-20.003850,-19.054494,0.508685,0.460869,-0.683131,0.249344
153,1U,4,Yes,Yes,0.138481,5.169495,0.079727,-0.031638,-5.168783,0.129087,-0.663876,0.250971,0.692545
154,1U,4,No,Yes,8.375440,17.770332,7.467525,9.793070,12.810798,-0.193538,-0.321912,0.172699,-0.910545
155,1U,4,No,Yes,3.083030,22.831421,19.582491,-11.020681,4.042824,0.020285,0.868477,0.372989,0.325907
156,1U,4,No,Yes,2.535006,10.976683,1.650993,-3.863606,-10.140727,0.306994,-0.651989,0.298325,-0.625834
157,1U,4,No,Yes,2.249546,27.909072,6.478265,-7.195896,-26.175704,0.005457,-0.411212,-0.338191,0.846464
158,1U,4,Yes,Yes,0.193755,3.369427,-3.335281,0.286286,0.383378,-0.432856,-0.456207,0.218353,-0.746212
159,1U,4,No,Yes,8.695796,27.609623,-19.570468,-19.161199,-3.483750,0.275078,-0.726544,-0.435568,0.454694
160,1U,4,No,Yes,3.463975,29.168749,-20.812270,-12.502147,-16.166683,0.331396,-0.624339,-0.208791,0.675858
161,1U,4,No,Yes,2.535020,32.923576,-5.576033,-19.891773,-25.635661,0.422989,-0.586345,-0.655103,-0.219362
162,1U,4,No,Yes,8.375323,11.235003,4.098898,10.264282,2.017136,-0.117315,-0.251229,0.390087,-0.878039
163,1U,4,No,Yes,2.534939,24.113735,-1.212065,-0.952166,-24.064424,0.153341,0.073978,0.429332,-0.886954
164,1U,4,No,Yes,7.636340,12.494396,-1.951981,-8.435136,9.008228,0.613078,-0.696320,-0.170508,0.331965
165,1U,4,No,Yes,8.725623,28.917801,3.272176,22.713594,17.596157,0.404768,-0.159918,0.066161,0.897893
166,1U,4,No,Yes,0.457072,10.420866,6.485098,4.258492,-6.957241,-0.718600,-0.262756,-0.381696,-0.518538
167,1U,4,No,Yes,3.082821,31.443267,-11.229827,-8.578726,-28.088707,-0.983060,-0.037443,0.179351,-0.004937
168,1U,4,No,Yes,8.087497,20.922956,0.604735,-19.843823,-6.605082,-0.095772,-0.319079,-0.227471,-0.915026
169,1U,4,No,Yes,2.534959,23.435677,14.589455,4.660322,-17.738663,0.400740,-0.286834,0.664992,0.561176
